# wavelength[angstrom] transmittance
 4400.9  0.0003
 4405.0  0.0007
 4409.1  0.0010
 4413.2  0.0007
 4417.3  0.0001
 4421.4 -0.0003
 4425.5 -0.0001
 4429.7  0.0001
 4433.8  0.0001
 4437.9  0.0002
 4442.0  0.0004
 4446.1  0.0005
 4450.2  0.0005
 4454.4  0.0004
 4458.5  0.0005
 4462.6  0.0005
 4466.7  0.0004
 4470.8  0.0002
 4474.9  0.0001
 4479.1  0.0002
 4483.2  0.0003
 4487.3  0.0003
 4491.4  0.0004
 4495.6  0.0006
 4499.7  0.0007
 4503.8  0.0007
 4507.9  0.0006
 4512.1  0.0004
 4516.2  0.0003
 4520.3  0.0005
 4524.4  0.0007
 4528.6  0.0005
 4532.7  0.0002
 4536.8  0.0003
 4540.9  0.0005
 4545.1  0.0005
 4549.2  0.0004
 4553.3  0.0006
 4557.4  0.0010
 4561.6  0.0012
 4565.7  0.0010
 4569.8  0.0004
 4574.0  0.0004
 4578.1  0.0011
 4582.2  0.0020
 4586.4  0.0028
 4590.5  0.0036
 4594.6  0.0048
 4598.8  0.0072
 4602.9  0.0115
 4607.0  0.0185
 4611.2  0.0297
 4615.3  0.0480
 4619.4  0.0782
 4623.6  0.1259
 4627.7  0.1950
 4631.9  0.2857
 4636.0  0.3929
 4640.1  0.5083
 4644.3  0.6233
 4648.4  0.7292
 4652.5  0.8182
 4656.7  0.8849
 4660.8  0.9266
 4665.0  0.9456
 4669.1  0.9500
 4673.3  0.9486
 4677.4  0.9464
 4681.5  0.9450
 4685.7  0.9444
 4689.8  0.9443
 4694.0  0.9435
 4698.1  0.9399
 4702.3  0.9300
 4706.4  0.9076
 4710.5  0.8637
 4714.7  0.7925
 4718.8  0.6970
 4723.0  0.5858
 4727.1  0.4656
 4731.3  0.3428
 4735.4  0.2283
 4739.6  0.1356
 4743.7  0.0725
 4747.9  0.0370
 4752.0  0.0202
 4756.2  0.0125
 4760.3  0.0082
 4764.5  0.0054
 4768.6  0.0035
 4772.8  0.0024
 4776.9  0.0019
 4781.1  0.0017
 4785.3  0.0016
 4789.4  0.0013
 4793.6  0.0010
 4797.7  0.0007
 4801.9  0.0006
 4806.0  0.0006
 4810.2  0.0006
 4814.3  0.0007
 4818.5  0.0008
 4822.7  0.0009
 4826.8  0.0007
 4831.0  0.0004
 4835.1  0.0003
 4839.3  0.0004
 4843.5  0.0006
 4847.6  0.0005
 4851.8  0.0003
 4855.9  0.0001
 4860.1  0.0003
 4864.3  0.0005
 4868.4  0.0004
 4872.6  0.0001
 4876.8  0.0000
 4880.9  0.0002
 4885.1  0.0004
 4889.3  0.0005
 4893.4  0.0005
 4897.6  0.0005
