#Wavelength(nm)	Reflectivity	Stddev-of-measurements
1630	0.9708	0.0008
1625	0.9707	0.0008
1620	0.9708	0.0008
1615	0.9708	0.0008
1610	0.9706	0.0008
1605	0.9706	0.0008
1600	0.9704	0.0007
1595	0.9703	0.0007
1590	0.9702	0.0008
1585	0.9702	0.0008
1580	0.9702	0.0008
1575	0.9703	0.0008
1570	0.9704	0.0008
1565	0.9704	0.0008
1560	0.9703	0.0008
1555	0.9702	0.0008
1550	0.9699	0.0007
1545	0.9698	0.0008
1540	0.9697	0.0008
1535	0.9700	0.0009
1530	0.9702	0.0009
1525	0.9705	0.0010
1520	0.9708	0.0010
1515	0.9709	0.0011
1510	0.9708	0.0010
1505	0.9706	0.0010
1500	0.9705	0.0009
1495	0.9703	0.0008
1490	0.9702	0.0007
1485	0.9704	0.0008
1480	0.9702	0.0006
1475	0.9700	0.0007
1470	0.9697	0.0007
1465	0.9695	0.0007
1460	0.9694	0.0008
1455	0.9693	0.0007
1450	0.9694	0.0007
1445	0.9693	0.0007
1440	0.9694	0.0007
1435	0.9695	0.0007
1430	0.9694	0.0006
1425	0.9693	0.0006
1420	0.9693	0.0006
1415	0.9694	0.0006
1410	0.9696	0.0007
1405	0.9696	0.0008
1400	0.9697	0.0008
1395	0.9696	0.0008
1390	0.9693	0.0007
1385	0.9690	0.0007
1380	0.9686	0.0007
1375	0.9680	0.0010
1370	0.9678	0.0012
1365	0.9678	0.0014
1360	0.9677	0.0016
1355	0.9675	0.0016
1350	0.9673	0.0015
1345	0.9668	0.0013
1340	0.9663	0.0011
1335	0.9656	0.0010
1330	0.9653	0.0009
1325	0.9653	0.0008
1320	0.9654	0.0007
1315	0.9655	0.0007
1310	0.9657	0.0006
1305	0.9655	0.0006
1300	0.9654	0.0006
1295	0.9653	0.0007
1290	0.9650	0.0007
1285	0.9647	0.0006
1280	0.9646	0.0006
1275	0.9645	0.0007
1270	0.9644	0.0007
1265	0.9642	0.0006
1260	0.9639	0.0006
1255	0.9639	0.0006
1250	0.9637	0.0007
1245	0.9634	0.0007
1240	0.9631	0.0007
1235	0.9629	0.0007
1230	0.9627	0.0007
1225	0.9624	0.0007
1220	0.9621	0.0007
1215	0.9618	0.0007
1210	0.9615	0.0007
1205	0.9613	0.0007
1200	0.9610	0.0007
1195	0.9608	0.0007
1190	0.9606	0.0007
1185	0.9605	0.0007
1180	0.9603	0.0006
1175	0.9599	0.0007
1170	0.9596	0.0007
1165	0.9594	0.0006
1160	0.9591	0.0007
1155	0.9587	0.0007
1150	0.9584	0.0007
1145	0.9580	0.0007
1140	0.9575	0.0007
1135	0.9571	0.0008
1130	0.9568	0.0008
1125	0.9565	0.0007
1120	0.9561	0.0007
1115	0.9557	0.0007
1110	0.9553	0.0007
1105	0.9547	0.0007
1100	0.9542	0.0007
1095	0.9538	0.0008
1090	0.9532	0.0008
1085	0.9527	0.0007
1080	0.9523	0.0007
1075	0.9517	0.0007
1070	0.9511	0.0007
1065	0.9503	0.0007
1060	0.9497	0.0006
1055	0.9491	0.0006
1050	0.9485	0.0006
1045	0.9478	0.0006
1040	0.9470	0.0006
1035	0.9462	0.0007
1030	0.9454	0.0007
1025	0.9446	0.0007
1020	0.9438	0.0007
1015	0.9429	0.0007
1010	0.9422	0.0007
1005	0.9410	0.0007
1000	0.9400	0.0007
995	0.9390	0.0007
990	0.9380	0.0008
985	0.9369	0.0008
980	0.9355	0.0008
975	0.9343	0.0009
970	0.9329	0.0009
965	0.9315	0.0009
960	0.9299	0.0009
955	0.9285	0.0010
950	0.9271	0.0010
945	0.9254	0.0011
940	0.9236	0.0010
935	0.9210	0.0009
930	0.9185	0.0008
925	0.9157	0.0007
920	0.9132	0.0007
915	0.9107	0.0007
910	0.9079	0.0007
905	0.9052	0.0007
900	0.9024	0.0008
895	0.8995	0.0008
890	0.8961	0.0007
885	0.8929	0.0007
880	0.8895	0.0008
875	0.8870	0.0008
870	0.8853	0.0010
865	0.8821	0.0010
860	0.8780	0.0011
855	0.8732	0.0014
850	0.8675	0.0015
845	0.8628	0.0017
840	0.8575	0.0018
835	0.8542	0.0017
830	0.8525	0.0017
825	0.8524	0.0016
820	0.8530	0.0016
815	0.8533	0.0013
810	0.8529	0.0009
805	0.8534	0.0010
800	0.8544	0.0016
795	0.8555	0.0018
790	0.8573	0.0019
785	0.8595	0.0017
780	0.8611	0.0017
775	0.8634	0.0018
770	0.8644	0.0016
765	0.8660	0.0015
760	0.8680	0.0016
