# wavelength[angstrom] transmittance
 6400.0 -0.0005
 6405.0 -0.0004
 6410.0 -0.0003
 6415.0 -0.0002
 6420.0 -0.0002
 6425.0 -0.0001
 6430.0  0.0001
 6435.0  0.0003
 6440.0  0.0006
 6445.0  0.0007
 6450.0  0.0015
 6455.0  0.0023
 6460.0  0.0036
 6465.0  0.0062
 6470.0  0.0107
 6475.0  0.0176
 6480.0  0.0291
 6485.0  0.0494
 6490.0  0.0808
 6495.0  0.1293
 6500.0  0.1977
 6505.0  0.2877
 6510.0  0.3934
 6515.0  0.5102
 6520.0  0.6270
 6525.0  0.7297
 6530.0  0.8167
 6535.0  0.8847
 6540.0  0.9297
 6545.0  0.9513
 6550.0  0.9709
 6555.0  0.9721
 6560.0  0.9739
 6565.0  0.9752
 6570.0  0.9768
 6575.0  0.9755
 6580.0  0.9747
 6585.0  0.9753
 6590.0  0.9638
 6595.0  0.9425
 6600.0  0.9111
 6605.0  0.8547
 6610.0  0.7821
 6615.0  0.6817
 6620.0  0.5688
 6625.0  0.4552
 6630.0  0.3399
 6635.0  0.2400
 6640.0  0.1580
 6645.0  0.1001
 6650.0  0.0628
 6655.0  0.0381
 6660.0  0.0236
 6665.0  0.0145
 6670.0  0.0094
 6675.0  0.0062
 6680.0  0.0042
 6685.0  0.0028
 6690.0  0.0022
 6695.0  0.0008
 6700.0  0.0007
