# r[pixel] alpha d0[mm] sigma^2_opt,0[mm^2]
1.627679218974557989e+04 4.218432638078237901e-02 -6.387762029235133365e-03 3.067278101332490925e-05
1.651332327356954920e+04 4.212835891003071515e-02 -1.199941981465454596e-02 3.350138921913792738e-05
1.675093877635314857e+04 4.151345266107803189e-02 -1.652109816663253558e-02 2.589002586438965135e-05
1.698970714603279339e+04 4.019382591074362188e-02 -2.191355497565518340e-02 1.799025913845330932e-05
1.722964752163203229e+04 3.685907970036678832e-02 -3.217019063235495441e-02 1.792604348729423793e-05
1.747065647699899637e+04 3.281794738880810386e-02 -4.652433403099127951e-02 1.886468346351632654e-05
1.771272712962768128e+04 2.888653806323838308e-02 -6.475776933546720238e-02 2.354670288247863829e-05
1.795591783939777451e+04 2.498549606459503358e-02 -8.771647768938051204e-02 3.617550959192738342e-05
1.820031798460640493e+04 2.106492374517407798e-02 -1.160735931937701970e-01 6.785648779714448307e-05
1.844594397013090565e+04 1.736014412985932912e-02 -1.509143944196942866e-01 1.224712101770673194e-04
1.869290393616833535e+04 1.381084002651134825e-02 -1.921660022738080065e-01 2.008373571032822085e-04
1.894122088725931098e+04 1.057801218345653244e-02 -2.423426689633372266e-01 2.946063233252841263e-04
