# r[pixel] alpha d0[mm] sigma^2_opt,0[mm^2]
1.627652443197777029e+04 4.216768839612225483e-02 -3.361031092611770250e-03 3.940191750537991029e-05
1.651301110949588110e+04 4.210915503025969980e-02 -2.296298730566015238e-03 4.505934672609159409e-05
1.675043908756110977e+04 4.189736465324277875e-02 -1.581657580947102909e-03 5.056348612670401261e-05
1.698905604210867750e+04 4.079530626740733579e-02 -8.179780508124628738e-04 5.679740255846141734e-05
1.722875873554853388e+04 3.870012095234380556e-02 -5.992095693972767506e-03 6.190446066576143255e-05
1.746958572877047118e+04 3.463619377109112413e-02 -1.854578679984869582e-02 5.203724709469583626e-05
1.771142124482419240e+04 3.071676507183180790e-02 -3.636136609947789727e-02 3.317806825514350069e-05
1.795435145645609373e+04 2.681494644736486313e-02 -5.916650380699255835e-02 1.618834064366662999e-05
1.819843943759105241e+04 2.290786208351290598e-02 -8.804169979378612121e-02 1.173805578476647505e-05
1.844375835021070816e+04 1.907203186999393077e-02 -1.230671700166909854e-01 3.123031685820633021e-05
1.869034251256416246e+04 1.548065048752881451e-02 -1.639315148208719819e-01 7.844896354731226943e-05
1.893826536947576096e+04 1.213123724359507077e-02 -2.110843185164258395e-01 1.478546700614560253e-04
