# r[pixel] alpha d0[mm] sigma^2_opt,0[mm^2]
1.627626223678330643e+04 4.217185667199452315e-02 -1.493889496146031184e-02 3.332839946684017755e-05
1.651275947376268596e+04 4.211417856421192235e-02 -1.665659487250667481e-02 3.487046912637305294e-05
1.675023440371818288e+04 4.182107227529504451e-02 -1.806283686685500670e-02 3.086970292800227583e-05
1.698892470880918700e+04 4.064069372655952639e-02 -1.773749657667296475e-02 1.743759626974475334e-05
1.722872705716473502e+04 3.820456528770289212e-02 -2.252883397435788762e-02 1.526728553740502476e-05
1.746964474861647614e+04 3.416850915814480943e-02 -3.300655256570310392e-02 1.410597197001635185e-05
1.771159481596874684e+04 3.019839198672417263e-02 -4.842200191516792679e-02 1.020507233470315481e-05
1.795462873659521938e+04 2.632054428266626667e-02 -6.874281018894123907e-02 1.060830293519509105e-05
1.819884663681611346e+04 2.237021515172751135e-02 -9.476739058287701745e-02 2.400737231866600555e-05
1.844426991839666880e+04 1.860232945235799906e-02 -1.270645687097171905e-01 5.861820143496740702e-05
1.869098277418430007e+04 1.500857551783864492e-02 -1.653727078305924081e-01 1.145346522759650368e-04
1.893904450686772543e+04 1.166963887297241785e-02 -2.107021780883628348e-01 1.893843477440860373e-04
