# r[pixel] alpha d0[mm] sigma^2_opt,0[mm^2]
1.627649963609997758e+04 4.217735543358445971e-02 -1.974788582864875353e-02 4.081691909455153415e-05
1.651301186374311510e+04 4.212040875217790137e-02 -2.309049875244332042e-02 4.281334050361790776e-05
1.675053902531951826e+04 4.173779470353970733e-02 -2.557723704580824875e-02 3.402940163511304156e-05
1.698926817414303150e+04 4.050473010493921278e-02 -2.665504633583526059e-02 1.747087465692589707e-05
1.722913812190686076e+04 3.781305739730788512e-02 -3.255124911382064473e-02 1.339177701196602920e-05
1.747011964153071676e+04 3.371961321798174621e-02 -4.336607471152291449e-02 1.316715823537650542e-05
1.771213353705510235e+04 2.974611281055244971e-02 -5.874140825916368547e-02 1.384509093307002236e-05
1.795522977735922905e+04 2.591495592175617133e-02 -7.910891344066808828e-02 1.968682589569382559e-05
1.819954356125965205e+04 2.191472021393645400e-02 -1.047881692210734517e-01 3.974449553892002185e-05
1.844505188421575440e+04 1.816016874663271830e-02 -1.369588974387640212e-01 8.142811010041535057e-05
1.869184799004176239e+04 1.463836698787435511e-02 -1.753065909174627290e-01 1.436721842202533261e-04
1.894002257696746165e+04 1.130125846445343904e-02 -2.211108122470747950e-01 2.224801946167516127e-04
