# r[pixel] alpha d0[mm] sigma^2_opt,0[mm^2]
1.627630900011176891e+04 4.216860389804826664e-02 -5.922266642692481514e-03 2.945960889761093813e-05
1.651279784609067792e+04 4.211036293407907638e-02 -6.040085124359182399e-03 3.237932506573441052e-05
1.675024015485333803e+04 4.186905466165331824e-02 -6.289140795256810412e-03 3.368072229848135049e-05
1.698888765641385180e+04 4.073626028312171687e-02 -5.505656813868105987e-03 3.046049823746173148e-05
1.722862325388925456e+04 3.851452250199917382e-02 -1.032827531218708655e-02 3.295829987712843085e-05
1.746948739378743267e+04 3.446853559199267863e-02 -2.166210103221715907e-02 2.799022294588070486e-05
1.771136939032690498e+04 3.051245156182594981e-02 -3.823930780325623252e-02 1.734593438780595326e-05
1.795433938850036066e+04 2.661805748500730220e-02 -5.973822764875479086e-02 9.589614740131045475e-06
1.819847347299745161e+04 2.270516239617969070e-02 -8.714640731054848488e-02 1.407596439715439792e-05
1.844383141791143134e+04 1.889475146674286093e-02 -1.207403070573528914e-01 4.058923285389059559e-05
1.869045659245819479e+04 1.530480398137335635e-02 -1.603549060466752108e-01 9.228268021100546361e-05
1.893842564701283118e+04 1.195854432801346165e-02 -2.063277414749031258e-01 1.634105189472205186e-04
